"","citycode","countrycode","cityname","countryname","nrecord","pm10","pm25","o3","no2","so2","co","startyear","endyear","nopollutiondata","o38h","co8h"
"134","bjng.chi9615","chi9615","Beijing","China",3287,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2007,2015,FALSE,FALSE,FALSE
"135","fuzh.chi9615","chi9615","Fuzhou","China",1096,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2004,2006,FALSE,FALSE,FALSE
"136","gngz.chi9615","chi9615","Guangzhou","China",3379,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2007,2015,FALSE,FALSE,FALSE
"137","hngk.chi9615","chi9615","Hong Kong","China",2557,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1996,2002,FALSE,FALSE,FALSE
"138","hngz.chi9615","chi9615","Hangzhou","China",1094,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2002,2004,FALSE,FALSE,FALSE
"139","lnzh.chi9615","chi9615","Lanzhou","China",1827,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2004,2008,FALSE,FALSE,FALSE
"141","shng.chi9615","chi9615","Shanghai","China",5478,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2001,2015,FALSE,FALSE,FALSE
"142","shny.chi9615","chi9615","Shenyang","China",1461,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2005,2008,FALSE,FALSE,FALSE
"143","suzh.chi9615","chi9615","Suzhu","China",1461,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2005,2008,FALSE,FALSE,FALSE
"144","tayn.chi9615","chi9615","Taiyuan","China",1827,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2004,2008,FALSE,FALSE,FALSE
"146","tnjn.chi9615","chi9615","Tianjin","China",1461,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2005,2008,FALSE,FALSE,FALSE
"147","wlmq.chi9615","chi9615","Wulumuqi","China",730,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2006,2007,FALSE,FALSE,FALSE
"148","wuhn.chi9615","chi9615","Wuhan","China",1096,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2003,2005,FALSE,FALSE,FALSE
"149","xian.chi9615","chi9615","Xian","China",1827,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2004,2008,FALSE,FALSE,FALSE
"154","chll.chl0414","chl0414","Chillan","Chile",2557,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2008,2014,FALSE,FALSE,FALSE
"155","sntg.chl0414","chl0414","Santiago","Chile",2557,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2008,2014,FALSE,FALSE,FALSE
"156","temc.chl0414","chl0414","Temuco","Chile",3410,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2004,2013,FALSE,FALSE,FALSE
"157","vlpr.chl0414","chl0414","Valparaiso","Chile",3277,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2004,2013,FALSE,FALSE,FALSE
"158","bogt.col9813","col9813","Bogota","Colombia",5844,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1998,2013,FALSE,FALSE,FALSE
"164","fama.cyp0419","cyp0419","famagusta","Cyprus",5844,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2004,2019,FALSE,FALSE,FALSE
"165","larn.cyp0419","cyp0419","larnaka","Cyprus",5844,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2004,2019,FALSE,FALSE,FALSE
"166","lima.cyp0419","cyp0419","limassol","Cyprus",5844,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2004,2019,FALSE,FALSE,FALSE
"167","nico.cyp0419","cyp0419","nicosia","Cyprus",5844,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2004,2019,FALSE,FALSE,FALSE
"168","pafo.cyp0419","cyp0419","pafos","Cyprus",5844,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2004,2019,FALSE,FALSE,FALSE
"175","prag.cze9420","cze9420","Prague","Czech Republic",9862,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1994,2020,FALSE,TRUE,FALSE
"178","quit.ecu1418","ecu1418","Quito","Ecuador",1826,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2014,2018,FALSE,FALSE,FALSE
"189","khjl.est9720","est9720","Kohtla-Jarve linn","Estonia",8766,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1997,2020,FALSE,TRUE,FALSE
"190","nrvl.est9720","est9720","Narva linn","Estonia",8766,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1997,2020,FALSE,TRUE,FALSE
"192","tlln.est9720","est9720","Tallinn","Estonia",8766,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1997,2020,FALSE,TRUE,FALSE
"193","trtl.est9720","est9720","Tartu linn","Estonia",8766,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1997,2020,FALSE,TRUE,FALSE
"251","brdx.fra0017","fra0017","Bordeaux","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"252","clfr.fra0017","fra0017","Clermont-Ferrand","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"253","dijn.fra0017","fra0017","Dijon","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"254","grnb.fra0017","fra0017","Grenoble","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"255","lhvr.fra0017","fra0017","Le Havre","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"256","lill.fra0017","fra0017","Lille","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"257","lndu.fra0017","fra0017","Lens-Douai ","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"258","lyon.fra0017","fra0017","Lyon","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"259","mntp.fra0017","fra0017","Montpellier","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"260","mrsl.fra0017","fra0017","Marseille","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"261","nice.fra0017","fra0017","Nice","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"262","nncy.fra0017","fra0017","Nancy","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
"263","nnts.fra0017","fra0017","Nantes","France",6575,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000,2017,FALSE,FALSE,FALSE
